YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
313,465,HDR09C          ,867.75,839.75,92.5,0,672.49,98.758,0.045,0.323,0.96,0.001
313,462,HDR09C          ,855,832.125,100,0,668.45,96.273,0.036,0.332,0.97,0.002
330,467,HDR09C          ,865.5,842.625,98.438,0,672.116,98.137,0.045,0.323,0.96,0.001
370,504,HHTA1B          ,870.875,831.625,90.753,1.712,676.768,9.864,0.04,0.383,1.32,0.048
401,523,HHTA1B          ,866.75,841.5,99.257,0,680.126,94.815,0.045,0.396,1.3,0.043
461,566,HHTA1B          ,868,839.75,94.03,0,674.036,76.952,0.038,0.388,1.32,0.045
396,519,HHTA1B          ,862.375,822.25,95.862,4.138,680.312,87.285,0.043,0.389,1.34,0.046
348,481,HDR09C          ,863.875,836.75,97.328,0,677.285,88.593,0.045,0.33,0.99,0.001
336,472,HDR09C          ,870.25,836,77.917,0,683.919,75.104,0.045,0.327,0.97,0.001
339,476,HDR09C          ,860.75,825.625,97.318,1.916,678.852,96.183,0.045,0.33,0.99,0.001
343,482,HDR09C          ,870.875,835.375,77.007,0,670.339,45.788,0.045,0.338,1,0.001
327,470,HDR09C          ,871.125,847.75,64.599,0,681.825,93.04,0.045,0.329,0.98,0.001
356,484,HDR09C          ,860.25,824.75,98.754,0.312,664.207,98.452,0.045,0.338,1,0.001
413,527,HHTA1B          ,869.875,821.625,98.128,0.267,638.328,97.2,0.036,0.402,1.37,0.048
417,517,HHTA1B          ,874.625,827.75,95.594,0.134,630.352,90.97,0.036,0.406,1.4,0.049
331,485,HDR09C          ,860,831.5,99.688,0,673.564,93.146,0.045,0.329,0.98,0.001
402,532,HHTA1B          ,872.5,836.25,88.104,0,674.787,91.852,0.045,0.396,1.3,0.043
455,570,HHTA1B          ,868.625,841.25,91.304,0,679.839,92.641,0.045,0.389,1.36,0.045
351,488,HDR09C          ,863.75,822.375,92.79,0.313,669.84,98.442,0.045,0.338,1,0.001
383,540,HHTA1B          ,873.375,842.625,93.985,0,675.511,80.224,0.045,0.396,1.32,0.041
312,484,HDR09C          ,861.875,833.5,97.51,2.49,671.608,86.364,0.041,0.342,1,0.001
336,478,HDR09C          ,874.375,831.25,89.362,5.957,673.307,93.644,0.045,0.348,1.03,0.001
456,569,HHTA1B          ,866,839.375,99.239,0,631.07,98.241,0.045,0.396,1.33,0.04
